Assignment group,Number,Item,Stage,Due date,Quantity,Additional comments,Comments and Work notes
SR Autoamtion,SR0010,Remove user from AD Groups,complete,10.03.2023 21:07:42,1,"
Order Fulfilled

Order Summary: 


10.03.2023 07:07:44 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Huntingdon GMs,GCP Team FR</I>[/code]


","
Order Fulfilled

Order Summary: 


10.03.2023 07:07:44 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Huntingdon GMs,GCP Team FR</I>[/code]


"
SR Autoamtion,SR0011,Add user to AD groups,complete,19.04.2023 06:37:59,1,"18.04.2023 16:38:39 -  (Additional comments)
Order Fulfilled

Order Summary: 


18.04.2023 16:38:01 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>SML Group GMs</I>[/code]



","18.04.2023 16:38:39 -  (Additional comments)
Order Fulfilled

Order Summary: 


18.04.2023 16:38:01 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>SML Group GMs</I>[/code]


"
SR Autoamtion,SR0012,Add user to AD groups,complete,31.03.2023 23:13:55,1,"31.03.2023 09:14:36 -  (Additional comments)
Order Fulfilled

Order Summary: 


31.03.2023 09:13:57 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Eastend GMs</I>[/code]


","31.03.2023 09:14:36 -  (Additional comments)
Order Fulfilled

Order Summary: 


31.03.2023 09:13:57 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Eastend GMs</I>[/code]


"
SR Autoamtion,SR0013,Remove user from AD Groups,complete,30.03.2023 02:41:05,1,"29.03.2023 12:41:44 -  (Additional comments)
Order Fulfilled

Order Summary: 


29.03.2023 12:41:07 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Huntingdon And LiZ Area GMs</I>[/code]



","29.03.2023 12:41:44 -  (Additional comments)
Order Fulfilled

Order Summary: 


29.03.2023 12:41:07 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Huntingdon And LiZ Area GMs</I>[/code]



"
SR Autoamtion,SR0014,Add user to AD groups,complete,04.04.2023 03:00:37,1,"03.04.2023 13:01:17 -  (Additional comments)
Order Fulfilled

Order Summary: 


03.04.2023 13:00:40 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>86A</I>[/code]



","03.04.2023 13:01:17 -  (Additional comments)
Order Fulfilled

Order Summary: 


03.04.2023 13:00:40 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>86A</I>[/code]



"
SR Autoamtion,SR0015,Add user to AD groups,complete,26.05.2023 06:10:45,1,"25.05.2023 16:11:25 -  (Additional comments)
Order Fulfilled

Order Summary: 


25.05.2023 16:10:47 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Okta_FR_Local</I>[/code]



","25.05.2023 16:11:25 -  (Additional comments)
Order Fulfilled

Order Summary: 


25.05.2023 16:10:47 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Okta_FR_Local</I>[/code]



"
SR Autoamtion,SR0016,Remove user from AD Groups,complete,31.03.2023 22:15:32,1,"31.03.2023 08:16:10 -  (Additional comments)
Order Fulfilled

Order Summary: 


31.03.2023 08:15:34 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Eastend GMs</I>[/code]



","31.03.2023 08:16:10 -  (Additional comments)
Order Fulfilled

Order Summary: 


31.03.2023 08:15:34 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Eastend GMs</I>[/code]


"
SR Autoamtion,SR0017,Add user to AD groups,complete,17.05.2023 22:24:26,1,"17.05.2023 08:25:04 -  (Additional comments)
Order Fulfilled

Order Summary: 


17.05.2023 08:24:28 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Okta-Global_YOOBIC</I>[/code]


","17.05.2023 08:25:04 -  (Additional comments)
Order Fulfilled

Order Summary: 


17.05.2023 08:24:28 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Okta-Global_YOOBIC</I>[/code]



"
SR Autoamtion,SR0018,Add user to AD groups,complete,04.04.2023 06:32:25,1,"03.04.2023 16:33:04 -  (Additional comments)
Order Fulfilled

Order Summary: 


03.04.2023 16:32:27 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Darlington Group GMs</I>[/code]



","03.04.2023 16:33:04 -  (Additional comments)
Order Fulfilled

Order Summary: 


03.04.2023 16:32:27 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Darlington Group GMs</I>[/code]



"
SR Autoamtion,SR0019,Add group to user,complete,21.03.2023 03:23:42,1,"20.03.2023 13:24:22 -  (Additional comments)
Order Fulfilled

Order Summary: 


20.03.2023 13:23:45 -  (Additional comments)
Order Inputs: 

Group Names : [code]<I>Role-IN-Shop0363_GM, Eastend GMs</I>[/code]


","20.03.2023 13:24:22 -  (Additional comments)
Order Fulfilled

Order Summary: 


20.03.2023 13:23:45 -  (Additional comments)
Order Inputs: 

Group Names : [code]<I>Role-IN-Shop0363_GM,Eastend GMs</I>[/code]



"
SR Autoamtion,SR0020,Remove user from AD Groups,complete,25.03.2023 03:55:39,1,"24.03.2023 13:56:21 -  (Additional comments)
Order Fulfilled

Order Summary: 


24.03.2023 13:55:41 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Gurgaon-Shops</I>[/code]



","24.03.2023 13:56:21 -  (Additional comments)
Order Fulfilled

Order Summary: 


24.03.2023 13:55:41 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Gurgaon-Shops</I>[/code]


"
SR Autoamtion,SR0021,Add user to AD groups,complete,18.04.2023 06:03:24,1,"17.04.2023 16:04:03 -  (Additional comments)
Order Fulfilled

Order Summary: 


17.04.2023 16:03:26 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Hillingdon West Group</I>[/code]



","17.04.2023 16:04:03 -  (Additional comments)
Order Fulfilled

Order Summary: 


17.04.2023 16:03:26 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Hillingdon West Group</I>[/code]


"
SR Autoamtion,SR0022,Add user to AD groups,complete,17.03.2023 03:23:07,1,"16.03.2023 13:23:45 -  (Additional comments)
Order Fulfilled

Order Summary: 


16.03.2023 13:23:08 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Coffee subs & loyalty team</I>[/code]


","16.03.2023 13:23:45 -  (Additional comments)
Order Fulfilled

Order Summary: 


16.03.2023 13:23:08 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Coffee subs & loyalty team</I>[/code]


"
SR Autoamtion,SR0023,Add user to AD groups,complete,17.03.2023 03:21:58,1,"16.03.2023 13:22:37 -  (Additional comments)
Order Fulfilled

Order Summary: 


16.03.2023 13:22:00 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Coffee subs & loyalty team</I>[/code]


","16.03.2023 13:22:37 -  (Additional comments)
Order Fulfilled

Order Summary: 


16.03.2023 13:22:00 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Coffee subs & loyalty team</I>[/code]


"
SR Autoamtion,SR0024,Add user to AD groups,complete,19.03.2023 00:36:20,1,"18.03.2023 10:37:03 -  (Additional comments)
Order Fulfilled

Order Summary: 


18.03.2023 10:36:22 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Revatta_SSO</I>[/code]


","18.03.2023 10:37:03 -  (Additional comments)
Order Fulfilled

Order Summary: 


18.03.2023 10:36:22 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Revatta_SSO</I>[/code]


"
SR Autoamtion,SR0025,Remove user from AD Groups,complete,14.04.2023 00:35:42,1,"13.04.2023 10:36:21 -  (Additional comments)
Order Fulfilled

Order Summary: 


13.04.2023 10:35:44 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Electron,TM-Electron</I>[/code]


","13.04.2023 10:36:21 -  (Additional comments)
Order Fulfilled

Order Summary: 


13.04.2023 10:35:44 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Electron,TM-Electron</I>[/code]


"
SR Autoamtion,SR0026,Add user to AD groups,complete,13.05.2023 00:32:16,1,"12.05.2023 10:32:55 -  (Additional comments)
Order Fulfilled

Order Summary: 


12.05.2023 10:32:18 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Partners in GR</I>[/code]


","12.05.2023 10:32:55 -  (Additional comments)
Order Fulfilled

Order Summary: 


12.05.2023 10:32:18 -  (Additional comments)
Order Inputs: 

Groups : [code]<I>Partners in GR</I>[/code]



"
