                 Group_name  Number of occurrences
              Gurgaon-Shops                      2
                Eastend GMs                      2
             Partners in GR                      2
 Coffee subs & loyalty team                      2
                GCP Team FR                      1
             Huntingdon GMs                      1
                        86A                      1
              Okta_FR_Local                      1
Huntingdon And LiZ Area GMs                      1
              SML Group GMs                      1
       Darlington Group GMs                      1
         Okta-Global_YOOBIC                      1
                Revatta_SSO                      1
      Hillingdon West Group                      1
                   Electron                      1
                TM-Electron                      1
                JOP Team FR                      1
     Catering services team                      1
